rank,section,subSection,subSectionName,officeName,title,조회수
1,worldfootball,worldfootballetc,해외축구 일반,인터풋볼,"폭발한 네이마르, 심판에게 욕설 ""불어로 하라고? 뭔 소리야""",348722
2,baseball,kbo,KBO리그,엠스플뉴스,"[엠스플 이슈] NC 김진성, 캠프 첫날 중도귀국…연봉 협상 후폭풍?",271157
3,worldfootball,bundesliga,분데스리가,인터풋볼,"[분데스 STAR] 슈팅 8번 시도→7골 홀란드, 단숨에 리그 득점 6위 등극",268150
4,worldfootball,epl,프리미어리그,스포티비뉴스,"‘손흥민 4-3-3 원톱, 베르흐베인 날개…‘ 英 가디언 맨시티전 예상 선발",254284
5,worldfootball,bundesliga,분데스리가,인터풋볼,"[분데스 현장리뷰] '홀란드 3경기 연속 멀티골' 도르트문트, 베를린 5-0 대파",241432
6,worldfootball,epl,프리미어리그,부산일보,실수일까 고의일까…리버풀 중계예고에 나치당 로고 합성한 U+모바일tv,230989
7,worldfootball,seria,세리에A,머니S,“안정환에 월급 줄 생각 없다”… '괴짜' 세리에A 전 구단주 사망,218896
8,worldfootball,epl,프리미어리그,스포탈코리아,"‘유효슈팅 3+88개 패스’ 브루노, EPL은 “슈팅과 패스는 역대급 데뷔전’",195166
9,worldbaseball,mlb,메이저리그,스포티비뉴스,"[SPO in 플로리다] “저 사람이 왜 여기에…” 스타 감독 윌리엄스, 현지도 놀란 존재감(영상)",180503
10,etc,etc,,골닷컴,"'102 중 100' 승점 올린 리버풀, 역대급 기록 행진",173020
11,worldfootball,epl,프리미어리그,스타뉴스,"英해설가 독설 ""선수 망치는 맨유, 페르난데스는 그러지 말라""",158692
12,worldfootball,bundesliga,분데스리가,국민일보,저무는 ‘메날두 시대’에 나타난 ‘2020년의 괴물’,155586
13,volleyball,volleyball,배구,마이데일리,"'신인왕 후보' 구본승, SNS로 충격 은퇴 선언 ""단체운동 적응못해""",152887
14,worldbaseball,mlb,메이저리그,OSEN,"“류현진, 선발 랭킹 5위…1위 NL 사이영 디그롬” MLB.com 선정",150458
15,baseball,kbo,KBO리그,OSEN,"임의탈퇴 아닌 무기한 자격정지, ‘폭행’ 배재준의 LG 중징계 의미 [오!쎈 이슈]",150101
16,worldfootball,worldfootballetc,해외축구 일반,스포탈코리아,"'뿔난' 음바페, 교체 도중 돌발 행동...투헬은 ""처벌 여부 나중에 결정""",143100
17,soccer,afc,AFC,베스트일레븐,"‘인천 거친’ 콩푸엉·쯔엉, 연봉 2억대로 베트남 1위… K1 평균",137268
18,worldfootball,primera,라리가,스포티비뉴스,"[SPO Talk] '신의 한수' 지단, “교체 필요하다면 해야 한다”",129080
19,baseball,kbo,KBO리그,스타뉴스,"'4000만원 깎인' 김진성, 불만 표하고 전격 귀국... 삐걱대는 NC",127778
20,general,fight,격투기,스포츠서울,"코너 맥그리거, ""9월까지 못 기다리겠어, 4월에 하빕과 붙고 싶다""",122562
